year,examtype,csv_id,sub,question,topic,type
2023,CAT1,1,Computer Networks,"Identify one or more layers of the OSI model that carry out the following responsibilities and explain them in detail:     i) Transmission of bit stream across physical medium.
ii) Defines Frames                                                                            iii)Error correction and retransmission.                                         iv) Reliable Process-to-process message delivery.
v) Route selection.
vi) Provides user services such as e-mail and file transfer.",OSI MODEL,Theory and Conceptual
2023,CAT1,2,Computer Networks, Compare and contrast star and mesh topologies using suitable examples.,TOPOLOGY,Theory and Conceptual
2023,CAT1,3,Computer Networks,"Assume that processing delay, queuing delay and control overhead-bits are ignored. Consider the message size as 30,000 bits, the propagation time is 10ms per hop, packet length is 1000 bits, transmission rate per hop is 10000 bps and call set-up time is 2ms.Find the total time for both the circuit and packet switching networks when number of intermediate nodes as (i) 2, (ii) 5, (iii) 10, (iv) 50, (v) 100. Also, comment on the network performance in terms of the total delay in both the switching networks when the number of intermediate nodes increases",CIRCUIT AND PACKET SWITCHING,Numerical
2023,CAT1,4,Computer Networks,"Consider an Internet application running on two Internet hosts, Host1 and Host2, which are communicating using a path through router R. Assume that the average service time (queuing and processing delay) at R is 15 ms, packets are 6,000 bits long and the propagation delay between Hostl and Host2 is 250ms. Also, ignore the control overhead.",CIRCUIT AND PACKET SWITCHING,Numerical
2024,CAT1,5,Artificial Intelligence,"Design PEAS for the following artificial intelligent agents.
i) Taxi driver agent 
ii) Automated robot in a manufacturing plant.          
iii) Playing soccer 
iv) Bidding an item on an auction 
v) Shopping for used AI books on the Internet ",PEAS,Theory and Conceptual
2024,CAT1,6,Artificial Intelligence,"Consider the project developed by Google, codenamed Waymo. Waymo has 
successfully deployed self-driving cars with advanced sensors and implemented 
AI-based model algorithms in their decision-making process. These 
autonomous vehicles navigate the roads, making decisions based on percept 
history and real-time sensory input ï¿½ the ability to make informed decisions 
based on historical data and real-time perceptual input received from the 
environments. Identify the most suitable model and explain how it fits this 
scenario where a decision has been made based on the perception of events that 
happened. ",AI MODEL,Thinking and Conceptual
2024,CAT1,7,Artificial Intelligence,"a) Suppose a genetic algorithm uses chromosomes of the form x = abcdefgh 
with a fixed length of eight genes. Each gene can be any digit between 0 
and 9. Let the fitness of individual x be calculated as: 
 f(x)=(a+b)-(c+d)+(e+f)-(g+h)
and let the initial population consist of four individuals with the following 
chromosomes: 
x1 = 6 5 4 1 3 5 3 2 
x2 = 8 7 1 2 6 6 0 1 
x3 = 2 3 9 2 1 2 8 5 
x4 = 4 1 8 5 2 0 9 4 
 
Evaluate each individual's fitness, showing all your workings and arrange 
them in order with the fittest first and the least fit last.
b) With a neat sketch of the hill-climbing algorithm's state-space landscape, 
explain why the hill-climbing search gets struck. List the variants of the hill 
climbing algorithm and describe how they overcome this problem",GENETIC ALGORITHM,Analysis and Concetual
2024,CAT1,8,Artificial Intelligence,"You are given with five different tasks like  
(i) Crossword puzzle 
(ii) N Queens Problem
(iii)  Tower of Hanoi 
(iv) Ludo 
List the PEAS description and the properties for the given tasks to their 
environment characteristics with suitable justification. ",PEAS,Theory and Conceptual
2024,CAT1,9,Artificial Intelligence,"A taxi company wants to optimize its drivers' routes to reduce fuel 
consumption, minimize travel time, and enhance customer satisfaction. List 
the challenges and plans in developing an AI system for a real-time route 
optimization system that assists drivers in selecting the most efficient routes 
while considering dynamic factors like traffic, road conditions, toll plazas 
and weather conditions? Discuss with diagram the most suitable type of 
agent that can be used for this type of system. ",AI AGENT,Thinking and Conceptual
2024,CAT1,10,Artificial Intelligence,"Show that hill-climbing approach suffers from local optima in solving a 
problem. Use a global heuristic function to solve the same problem to reach 
the goal state.",HILL CLIMBING,Theory and Conceptual
